name,address,cert_pdf_url,type,homepage
"WDC - Solid Earth Physics, Moscow","Молодёжная ул., 3, Москва, Россия, 119296",https://www.coretrustseal.org/wp-content/uploads/2019/01/WDC-Solid-Earth-Physics-Moscow.pdf,c,http://www.wdcb.ru/sep/index.html
The Language Archive,,https://www.coretrustseal.org/wp-content/uploads/2019/01/The-Language-Archive.pdf,c,https://archive.mpi.nl
DKRZ - WDC Climate,"Deutsches Klimarechenzentrum, Bundesstraße, Hamburg, Germany",https://www.coretrustseal.org/wp-content/uploads/2019/01/DKRZ-WDC-Climate-WDCC.pdf,c,http://www.wdc-climate.de
CLARIN Center IvdNT,"Instituut voor de Nederlandse Taal, Rapenburg, Leiden, Netherlands",https://www.coretrustseal.org/wp-content/uploads/2018/12/CLARIN-Center-IvdNT.pdf,c,http://www.ivdnt.org/
IMS Repository,"Institute for Natural Language Processing (IMS), Pfaffenwaldring, Stuttgart, Germany",https://www.coretrustseal.org/wp-content/uploads/2018/12/IMS-Repository.pdf,c,http://clarin04.ims.uni-stuttgart.de/fedora/
Qualitative Data Repository,"Maxwell School of Citizenship and Public Affairs, Syracuse University, Irving Avenue, Syracuse, NY, USA",https://www.coretrustseal.org/wp-content/uploads/2018/11/Qualitative-Data-Repository.pdf,c,https://qdr.syr.edu
USGS EROS Center (WDC - Earth Resources Observation and Science),"SGT, Inc. USGS/EROS Office, 252nd Street, Sioux Falls, SD, United States",https://www.coretrustseal.org/wp-content/uploads/2018/11/USGS-EROS-Center.pdf,c,https://eros.usgs.gov/
Australian Antarctic Data Centre,"Australian Antarctic Division, Channel Highway, Kingston, Tasmania, Australia",https://www.coretrustseal.org/wp-content/uploads/2018/11/Australian-Antarctic-Data-Centre-AADC.pdf,c,http://data.aad.gov.au/
DataFirst Data Portal,"DataFirst, University of Cape Town, Rondebosch, Cape Town, South Africa",https://www.coretrustseal.org/wp-content/uploads/2018/11/DataFirst.pdf,c,http://www.datafirst.uct.ac.za/dataportal/
CELR META-SHARE,"Juhan Liivi 2, 50409 Tartu, Estonia",https://www.coretrustseal.org/wp-content/uploads/2018/11/CELR-META-SHARE.pdf,c,https://metashare.ut.ee/
CLARIN Center BBAW,"Berlin-Brandenburgischen Akademie der Wissenschaften, Markgrafenstraße, Berlin, Germany",https://www.coretrustseal.org/wp-content/uploads/2018/10/CLARIN-Center-BBAW.pdf,c,http://clarin.bbaw.de/en/
Chinese Astronomical Data Center,"National Astronomical Observatories, Chinese Academy of Sciences, Beijing, China",https://www.coretrustseal.org/wp-content/uploads/2018/10/Chinese-Astronomical-Data-Center-CAsDC.pdf,c,http://casdc.china-vo.org/?locale=en
CSIRO Data Access Portal,"Canberra ACT 2601, Australia",https://www.coretrustseal.org/wp-content/uploads/2018/10/CSIRO-Data-Access-Portal.pdf,c,https://data.csiro.au/
Norwegian Marine Data Centre (NMD),"Strandgaten 196, 5006 Bergen, Norway",https://www.coretrustseal.org/wp-content/uploads/2018/10/Norwegian-Marine-Data-Centre.pdf,c,https://www.hi.no/en/hi/forskning/research-groups-1/the-norwegian-marine-data-centre-nmd
Oak Ridge National Laboratory Distributed Active Archive Center (ORNL DAAC),"Oak Ridge National Laboratory, Bethel Valley Road, Oak Ridge, TN, United States",https://www.coretrustseal.org/wp-content/uploads/2019/01/Oak-Ridge-National-Laboratory-DAAC.pdf,c,http://daac.ornl.gov
UC3 Merritt,"415 20th Street, Oakland, CA, USA",https://www.coretrustseal.org/wp-content/uploads/2018/08/UC3-Merritt.pdf,c,https://merritt.cdlib.org/
ISRIC WDC - Soils,"ISRIC – World Soil Information, Droevendaalsesteeg, Wageningen, Netherlands",https://www.coretrustseal.org/wp-content/uploads/2018/07/ISRIC-WDC-Soils.pdf,c,https://www.isric.org/about/world-data-centre-soils-wdc-soils
Tilburg University Dataverse,"Tilburg University, Warandelaan 2, 5037 AB Tilburg, Netherlands",https://www.coretrustseal.org/wp-content/uploads/2018/04/Tilburg-University-Dataverse.pdf,c,https://www.tilburguniversity.edu/about/university-library/
The Language Bank of Finland,"Helsinki, Finland",https://www.coretrustseal.org/wp-content/uploads/2018/04/The-Language-Bank-of-Finland.pdf,c,http://www.kielipankki.fi/
LDC Catalog,"3600 Market Street, Suite 810 Philadelphia, PA 19104-2653",c,https://catalog.ldc.upenn.edu/
The ILC4CLARIN Centre at the Institute for Computational Linguistics,"Via Giuseppe Moruzzi, 1, 56124 Pisa, Province of Pisa, Italy",c,https://dspace-clarin-it.ilc.cnr.it/
Cornell Institute for Social and Economic Research (CISER),"Cornell Institute for Social and Economic Research, Pine Tree Road, Ithaca, NY, United States",c,http://ciser.cornell.edu/
Digital Repository of Ireland,"Dublin 2, 19 Dawson Street, Dublin, Ireland",c,http://www.dri.ie/
Scholars' Mine,"Missouri University of Science and Technology, North State Street, Rolla, MO, USA",https://www.coretrustseal.org/wp-content/uploads/2018/04/Scholars-Mine-.pdf,c,http://scholarsmine.mst.edu
DANS: Electronic Archiving SYstem (EASY),"Anna van Saksenlaan 51, The Hague, Netherlands",https://www.coretrustseal.org/wp-content/uploads/2018/04/DANS-Electronic-Archiving-SYstem-EASY-.pdf,c,https://easy.dans.knaw.nl/
FDAT,"Wilhelmstraße 32, 72074 Tübingen, Germany",https://www.coretrustseal.org/wp-content/uploads/2018/04/FDAT.pdf,c,http://fdat.escience.uni-tuebingen.de/portal
NSD's Research Data Archive,"Harald Hårfagres gate, Bergen, Norway",https://www.coretrustseal.org/wp-content/uploads/2018/03/NSDs-Research-Data-Archive.pdf,c,http://www.nsd.uib.no/nsddata/arkivering/en/index.html
DARIS,"University of Lausanne, Lausanne, Switzerland",https://www.coretrustseal.org/wp-content/uploads/2018/03/DARIS.pdf,c,http://forscenter.ch/en/data-and-research-information-services/
ARCHE,"Sonnenfelsgasse 19, 1010 Vienna, Austria",https://www.coretrustseal.org/wp-content/uploads/2018/03/ARCHE.pdf,c,https://arche.acdh.oeaw.ac.at/browser/
Irish Social Science Data Archive (ISSDA),"University College Dublin, Stillorgan Road, Belfield, Dublin 4, Ireland",https://www.coretrustseal.org/wp-content/uploads/2018/03/Irish-Social-Science-Data-Archive-ISSDA-.pdf,c,http://www.ucd.ie/issda/
Meertens Institute,"Oudezijds Achterburgwal 185, 1012 DK Amsterdam, Netherlands",https://www.coretrustseal.org/wp-content/uploads/2018/03/Meertens-Institute.pdf,c,http://www.meertens.knaw.nl/cms/
Roper Center for Public Opinion Research,"Cornell University, Ithaca, NY, USA",https://www.coretrustseal.org/wp-content/uploads/2018/02/Roper-Center-for-Public-Opinion-Research.pdf,c,http://ropercenter.uconn.edu/
Swedish National Data Service,"Göteborgs universitet, Gothenburg, Sweden",https://www.coretrustseal.org/wp-content/uploads/2018/02/Swedish-National-Data-Service.pdf,c,http://snd.gu.se/
Australian Data Archive,"18 Balmain Lane, Acton, Australian Capital Territory, Australia",https://www.coretrustseal.org/wp-content/uploads/2018/02/Australian-Data-Archive.pdf,c,https://www.ada.edu.au/ada/home
Czech Social Science Data Archive,"Jilská 1, Old Town, 110 00 Prague-Prague 1, Czechia",https://www.coretrustseal.org/wp-content/uploads/2018/01/Czech-Social-Science-Data-Archive.pdf,c,http://archiv.soc.cas.cz/
ADP Social Science Data Archives,"5 Kardeljeva ploščad, Ljubljana 1000, Slovenia",https://www.coretrustseal.org/wp-content/uploads/2018/01/ADP-Social-Science-Data-Archives.pdf,c,http://www.adp.fdv.uni-lj.si/eng/
National Geoscience Data Centre (NGDC),"Nicker Hill, Keyworth, Nottingham, United Kingdom",https://www.coretrustseal.org/wp-content/uploads/2018/01/National-Geoscience-Data-Centre.pdf,c,http://www.bgs.ac.uk/services/ngdc/home.html
The Worldwide PDB (wwPDB),"174 Frelinghuysen Rd, Piscataway Township, NJ, United States",https://www.coretrustseal.org/wp-content/uploads/2018/01/wwPDB-CTS-Certification-2017-2019.pdf,c,https://www.wwpdb.org/
ImmPort Repository,"5607 Fishers Lane, Rockville, MD, USA",https://www.coretrustseal.org/wp-content/uploads/2018/02/ImmPort-Repository.pdf,c,http://www.immport.org
GESIS Data Archive for the Social Sciences,"Unter Sachsenhausen 6-8, 50667, Cologne, Germany",https://www.coretrustseal.org/wp-content/uploads/2017/10/GESIS.pdf,c,https://www.gesis.org/en/home/institute/departments/data-archive-for-the-social-sciences/
TalkBank,Department of Psychology 254M Baker . Carnegie Mellon University. 5000 Forbes Ave. Pittsburgh PA 15213,https://www.coretrustseal.org/wp-content/uploads/2017/10/TalkBank.pdf,c,http://talkbank.org/
Mendeley Data,"Amsterdam, The Netherlands",https://www.coretrustseal.org/wp-content/uploads/2017/12/MendeleyData.pdf,c,http://data.mendeley.com/
Data Repository University of Minnesota (DRUM),"2010 Buford Avenue, St Paul, MN 55108, United States",https://www.coretrustseal.org/wp-content/uploads/2017/10/DRUM.pdf,c,https://conservancy.umn.edu/handle/11299/166578
The Finnish Social Science Data Archive (FSD),"Åkerlundinkatu 5 Länsi-Suomi, Finland",https://www.coretrustseal.org/wp-content/uploads/2017/10/Finnishrepository.pdf,c,http://www.fsd.uta.fi/en/
Edition Topoi Collections,"Hannoversche Straße 6 Berlin, Germany",https://www.coretrustseal.org/wp-content/uploads/2017/10/EditionTopoicollections.pdf,c,http://repository.edition-topoi.org/
